input,instruction,output
"paragraph:  CHAPTER XXXVI \\THE CHARLATAN UNMASKED \\There seemed for the next few minutes to be a somewhat singular abstention from any desire to interfere with the two people who stood in the centre of the little group, hand-in-hand. Saton, after his first speech, and after Lois had given him her hands, had turned a little defiantly toward Rochester, who remained, however, unmoved, his elbow resting upon the broad mantelpiece, his face almost expressionless. Vandermere, too, stood on one side and held his peace, though the effort with which he did so was a visible one. Lady Mary looked anxiously towards them. Pauline had shrunk back, as though something in the situation terrified her. \\Even Saton himself felt that it was the silence before the storm. The courage which he had summoned up to meet a storm of disapproval, began to ebb slowly away in the face of this unnatural silence. It was clear that the onus of further speech was to rest with him. \\Still retaining Lois' hand, he turned toward Rochester. \\""You have forbidden me to enter your house, or to hold any communication with your ward until she was of age, Mr. Rochester,"" he said. ""One of your conditions I have obeyed. With regard to the other, I have done as I thought fit. However, to-day she is her own mistress. She has consented to be my wife. I do not need to ask for your consent or approval. If you are not willing that she should be married from your roof, I can take her at once to the Comtesse, who is prepared to receive her."" ",Answer the following question from the paragraph : Question: Where would they go if they couldn't be married there?,the Comtesse
"paragraph:  ISTANBUL, Turkey (CNN) -- In a landmark case, the European Court of Human Rights ruled Tuesday that Turkish authorities failed to protect a woman from her abusive ex-husband, effectively allowing his pattern of domestic violence to lead to the killing of her mother at gunpoint. \\Judges unanimously ruled that the Turkish state violated three articles prohibiting torture and discrimination, and ensuring the right to life of the victim. \\Legal experts said the ruling sets a precedent throughout Turkey and Europe for governments to protect women from domestic abuse. \\""It's a very good decision,"" said Pinar Ilkkaracan, co-founder of the Istanbul-based organization Women for Women's Human Rights. ""This means now that the state must take effective measures to protect women from violence."" \\According to a Turkish government study released in February, four out of 10 Turkish women are beaten by their husbands. The European Union-funded poll concluded that ""one out of 10 women has reported to have been beaten during her pregnancy."" \\Turkey passed the Family Protection Act in 1998, which is supposed to offer women protection against domestic violence. \\But in the case, Opuz v. Turkey, judges ruled that the ""discriminatory judicial passivity in Turkey created a climate that was conducive to domestic violence."" \\Court documents state that in the southeastern Turkish city of Diyarbakir, Nahide Opuz, 36, and her mother were the repeat victims of attacks by the woman's ex-husband, Huseyin Opuz, referred to as H.O. \\""Criminal proceedings were brought against H.O. on three occasions,"" the court wrote. On one occasion, Huseyin Opuz ran over the two women with a car. In 2001, he stabbed his ex-wife seven times with a knife. The ex-wife survived the assault. Turkish authorities detained and then released her ex-husband after fining him the equivalent of about $580. ",Answer the following question from the paragraph : Question: How was she killed?,at gunpoint
"paragraph:  CHAPTER V. \\THE NEWS FROM NARRABEE. \\ARRIVED at the garden, a thought struck me. The cheerful speech and easy manner of Ambrose plainly indicated that he was ignorant thus far of the quarrel which had taken place under my window. Silas might confess to having taken his brother's stick, and might mention whose head he had threatened with it. It was not only useless, but undesirable, that Ambrose should know of the quarrel. I retraced my steps to the stable-yard. Nobody was at the gate. I called alternately to Silas and to Ambrose. Nobody answered. The brothers had gone away to their work. \\Returning to the garden, I heard a pleasant voice wishing me ""Good-morning."" I looked round. Naomi Colebrook was standing at one of the lower windows of the farm. She had her working apron on, and she was industriously brightening the knives for the breakfast-table on an old-fashioned board. A sleek black cat balanced himself on her shoulder, watching the flashing motion of the knife as she passed it rapidly to and fro on the leather-covered surface of the board. \\""Come here,"" she said; ""I want to speak to you."" \\I noticed, as I approached, that her pretty face was clouded and anxious. She pushed the cat irritably off her shoulder; she welcomed me with only the faint reflection of her bright customary smile. \\""I have seen John Jago,"" she said. ""He has been hinting at something which he says happened under your bedroom window this morning. When I begged him to explain himself, he only answered, 'Ask Mr. Lefrank; I must be off to Narrabee.' What does it mean? Tell me right away, sir! I'm out of temper, and I can't wait!"" ",Answer the following question from the paragraph : Question: Where did I search for them?,The garden and the stable yard
"paragraph:  CHAPTER XXIII \\THE SPRINGTIME OF LIFE \\""A fight! a fight!"" came from the crowd, and soon Tom and Koswell were surrounded by a number of students and some outsiders. \\The blow from the bully angered Tom greatly, and skating forward he made a pass at Koswell. But the latter ducked, and then came back at Tom with a blow that sent the fun-loving Rover into several students standing by. \\""Say, Rover, look out, or Jerry Koswell will eat you up!"" said one of the seniors. \\""Koswell is a good scrapper,"" came from another. \\""I gave him one lesson and I can give him another,"" answered Tom. ""There, take that!"" \\He turned swiftly and rushed at Koswell. One blow after another was delivered with telling accuracy, and Koswell went flat on his back on the ice. When he got up his nose was bleeding. \\""I'll fix you!"" he roared. ""Come on to shore and take off your skates!"" \\""I'm willing,"" answered Tom recklessly. He knew fighting was against the rules of the college, but he was not going to cry quits. \\The pair moved toward the shore, the crowd still surrounding them. They soon had their skates off. \\""Now, Jerry, do him up brown!"" came from Larkspur, who was present. \\""Give him the thrashing of his life!"" added Flockley, who had come up. \\""He has got to spell able first, and he doesn't know the alphabet well enough to do it!"" answered Tom. \\""What's up?"" cried a voice from the rear of the crowd, and Dick appeared, followed by Sam. ",Answer the following question from the paragraph : Question: what did Flockley say,Give him the thrashing of his life
"paragraph:  Hong Kong, officially the Hong Kong Special Administrative Region of the People's Republic of China, is an autonomous territory south to Mainland China and east to Macao in East Asia. With around 7.2 million Hong Kongers of various nationalities in a territory of 1,104 km, Hong Kong is the world's fourth most densely populated country or territory. \\Hong Kong used to be a British colony with the perpetual cession of Hong Kong Island from the Qing Empire after the First Opium War (1839–1842). The colony expanded to the Kowloon Peninsula in 1860 and acquired a 99-year lease of the New Territories from 1898. Hong Kong was later occupied by Japan during the Second World War until British control resumed in 1945. The Sino-British Joint Declaration signed between the United Kingdom and China in 1984 paved way for the transfer of sovereignty of Hong Kong in 1997, when it became a special administrative region (SAR) of the People's Republic of China with a high degree of autonomy. \\Under the principle of ""one country, two systems"", Hong Kong maintains a separate political and economic system from China. Except in military defence and foreign affairs, Hong Kong maintains its independent executive, legislative and judiciary powers. In addition, Hong Kong develops relations directly with foreign states and international organisations in a broad range of ""appropriate fields"". Hong Kong involves in international organizations, such as the Asia-Pacific Economic Cooperation (APEC) and the World Trade Organization (WOR), actively and independently.",Answer the following question from the paragraph : Question: Are they involved with China in these groups?,no
"paragraph:  (CNN)Now comes the hard part for Maria Sharapova. Having reached the Australian Open final, she'll have to overcome longtime nemesis Serena Williams. \\To utter that Sharapova is the underdog Saturday is like saying Roger Federer is a decent player. World No. 1 Williams leads the second-ranked Sharapova 16-2 in their rivalry -- but has won 15 matches in a row. \\During that streak, she has conceded three sets to the Russian. \\If that's not enough, Williams has never lost a semifinal or final in Melbourne, her record improving to 11-0 after topping fellow American Madison Keys 7-6 (5) 6-2 Thursday in the semifinals. \\Sharapova, meanwhile, has failed to win a major outside Roland Garros in seven years. \\But all the imposing statistics don't appear to be fazing the ever steely Sharapova, who last downed Williams at the year-end championships in 2004. \\""I think my confidence should be pretty high going into a final of a grand slam no matter who I'm facing, and whether I've had a terrible record against someone, it doesn't matter,"" Sharapova, a 6-3 6-2 winner over compatriot Ekaterina Makarova Thursday, told reporters. \\""I got there for a reason. I belong in that spot. I will do everything I can to get the title."" \\Some would say, too, that Sharapova has fate on her side. \\She was almost knocked out in the second round, needing to save a pair of match points against qualifier Alexandra Panova. And only last year Li Na took advantage of her second chance in Melbourne, fending off a match point in the third round before going on to capture a second grand slam title a week later. ",Answer the following question from the paragraph : Question: Who is ranked second?,second
"paragraph:  CHAPTER XX. \\FOLLOWING ALLEN. \\Hal was astonished to learn from Katie McCabe that Dick Ferris was coming up the tenement stairs. \\""He can't be coming here!"" exclaimed the youth. \\""What shall we do if he does?"" asked McCabe. \\""I don't know. Perhaps I had better hide. He may----"" \\At that instant came a knock on the door. \\""It's him!"" whispered Katie. \\Andy McCabe, the father, pointed to a closet. Hal tiptoed his way to it, and motioned for Katie to follow. The door was closed, and then Andy McCabe answered the summons. \\Ferris stood at the door, his hair disheveled and his lips trembling. \\""May I ask who lives here?"" he asked. \\""My name is McCabe."" \\""Isn't there a man by the name of Macklin living here?"" went on Ferris. \\""Macklin?"" repeated McCabe, slowly. \\""Yes, Tommy Macklin."" \\""Not as I know on. What does he do?"" \\""I don't know. I have a letter to deliver to him. So you don't know where he lives?"" \\""No, sir."" \\""It's too bad. Will you please tell me what time it is?"" \\Andy McCabe glanced at the alarm clock that stood on the mantel-shelf. \\""Quarter to six."" \\""As late as that!"" cried Ferris. ""I must hurry and catch him before six. Only quarter of an hour. Good-day, sir."" \\""Good-day."" \\In a moment Ferris was gone. McCabe closed the door, and Hal came out of the closet followed by Katie. \\""What does he mean?"" questioned the man. \\""I'll tell you what it means,"" said Hal. ""He is trying to prove an alibi, in case a body was found in the vat. He thinks you can remember he was here looking for Macklin at quarter to six. If that was true, how could he have helped Macklin at five o'clock?"" ",Answer the following question from the paragraph : Question: who is their dad?,Andy McCabe
"paragraph:  (CNN) -- A man is accused of breaking into an Anchorage, Alaska, home over the weekend, sexually assaulting an elderly woman, killing her and her husband, and sexually assaulting the couple's 2-year-old great-granddaughter before fleeing the scene in his boxer shorts. \\Jerry Andrew Active, 24, was arrested about a block from the home. He was charged with first and second degree murder, sexual assault and burglary, said Anchorage Police Sgt. Slawomir Markiewicz. Active is being held on $1.5 million bond. \\Markiewicz said police were called to the home shortly before 8 p.m. Saturday. When they arrived, they found Touch Chea, 71, and his wife, Sorn Sreap, 73, dead, apparently due to blunt force trauma to the head and face, Markiewicz said. Autopsies are pending. \\Police also found in the home the couple's great-granddaughter, who was sexually assaulted. Sreap had also been sexually assaulted, police said. \\""I've been in the homicide unit for the last eight years and it's certainly one of the worst homicides we've seen in our town, in our city,"" Markiewicz told CNN's Brooke Baldwin Monday night. \\The sergeant said the 2-year-old's father told police that he and his wife, who is pregnant, lived in the home with their children -- ages 4 and 2 -- along with Chea, Sreap and another relative. \\They took their 4-year-old to the movies on Saturday, leaving their youngest in the care of the child's great-grandparents. \\When they returned, the front door was locked and there was a chain on from the inside, blocking their way. ",Answer the following question from the paragraph : Question: What were their names?,Touch Chea and Sorn Sreap
"paragraph:  BOGOTA, Colombia (CNN) -- ""Easy money, fast and effective."" \\Investors protest outside the headquarters of DMG, one of many companies accused of defrauding the public. \\That was the name of one of the businesses in which millions of Colombians deposited their life savings after being promised short-term returns of as much as 150 percent. \\But government officials say the businesses were pyramid schemes that raked in at least $200 million from 3 million people. \\The government has said it knows who most of those responsible are, but they have escaped. The government is tracking them down. \\Sergio Munoz is among those who lost their savings. \\""That was for my children,"" he said. ""Now, it comes to light that they have robbed us. It was with complicity of the authorities who permit this -- knowing that it is illegal for it to be permitted."" \\The government says the businesses defrauded the public by offering false promises of a sure investment. \\Wilson Rodriguez handed over the equivalent of $80,000 to a money man who offered him what he thought were assets in hotels and property in exchange. \\Now, he doesn't know whom to approach. \\""I don't even have enough to care for my family,"" he said. ""I lent money and what I make from my salary goes to pay off debts. I have nothing. I lost everything."" \\Infuriated investors have demonstrated outside the headquarters of several companies in question across the nation. \\Worried that the situation has already led to physical altercations and riots, President Alvaro Uribe asked that authorities act immediately to bring those responsible to justice. ",Answer the following question from the paragraph : Question: Substantially?,yes
"paragraph:  CHAPTER XVIII \\JIM'S RELEASE \\On the morning after his pursuit of Shanks, Jim was conscious of a flat reaction. Dick's story and the excitement of the chase had helped him to forget his troubles, but now he was cool they returned. He had promised to marry Evelyn and found out, too late, that he loved another. There was no use in railing at his folly, although this was great, and it was futile to wonder how he had so grossly misunderstood his feelings. Evelyn was all he thought her, but romantic admiration and respect for her fine qualities were not love. The important thing was that she held his promise and he must make it good. \\There was no other way. Carrie knew he loved her, but she had shown him his duty. If he drew back and broke with Evelyn, he would earn her contempt; Carrie was very staunch and put honor first. Anyhow, he was going to draw back; he had been a fool, but he could pay. The trouble was, Evelyn was clever and might find him out. His face went grim as he thought about it; the strain of pretending, the effort to be kind. For all that, the effort must be made, and perhaps by and by things would be easier. \\For a week he was quiet and moody and tried to occupy himself at the dyke. The evenings were the worst, because it soon got dark and he must talk to Jake and Carrie and try to look calm. Then he was puzzled about other things. Evelyn had gone to London and had not written to him. A few days afterwards, Dick, too, went to town, and Mrs. Halliday did not know why he had gone. Jim thought this strange, but it was not important. ",Answer the following question from the paragraph : Question: Was she aware of this?,Yes.
"paragraph:  It was a rainy day and James wanted to play. If he went outside to play, he would get wet. James' mother told him not to get wet because he might catch a cold. James went out to play, anyway. \\Outside, the cool rain kept falling. There were no other children for James to play with. The other children were all playing inside, where it was warm and dry. \\James found a puddle that had appeared in the mud. He found a piece of wood and pretended it was a turtle. He put the wooden turtle in the puddle and watched it float in a circle. This was not very fun. After one hour, James went back inside. \\When James went inside, he found his mother waiting. She had her hands on her hips and a serious look on her face. James was soaking wet! His mother made him change into dry clothes, and he was not to leave the house for the rest of the day. \\The next morning, the sun shone warm and bright, and the birds sang their morning songs. It was a beautiful day. When James woke up, he coughed. Then he sneezed. His body ached all over. James had a cold! \\James looked out the window and saw the neighbor children playing in their yards. They were having a lot of fun. James wanted to join them, but he was too sick. His mother was right.",Answer the following question from the paragraph : Question: What did James find in the mud?,a piece of wood
"paragraph:  Norfolk Island (i/ˈnɔːrfək ˈaɪlənd/; Norfuk: Norf'k Ailen) is a small island in the Pacific Ocean located between Australia, New Zealand and New Caledonia, 1,412 kilometres (877 mi) directly east of mainland Australia's Evans Head, and about 900 kilometres (560 mi) from Lord Howe Island. The island is part of the Commonwealth of Australia. Together with two neighbouring islands, it forms one of Australia's external territories. It has 1,796 inhabitants living on a total area of about 35 km2 (14 sq mi). Its capital is Kingston. \\Norfolk Island was colonised by East Polynesians but was long unpeopled when it was settled by Great Britain as part of its settlement of Australia from 1788. The island served as a convict penal settlement from 6 March 1788 until 5 May 1855, except for an 11-year hiatus between 15 February 1814 and 6 June 1825, when it lay abandoned. On 8 June 1856, permanent civilian residence on the island began when it was settled from Pitcairn Island. In 1913, the UK handed Norfolk over to Australia to administer as an external territory.",Answer the following question from the paragraph : Question: Was it used the entire time in that manner?,No
"paragraph:  CHAPTER XXIX. \\For an Indian isle she shapes her way With constant mind both night and day: She seems to hold her home in view And sails as if the path she knew, So calm and stately in her motion Across the unfathomed, trackless ocean. -- WILSON. \\It has been said that Peter was in advance. When his canoe was nearly abreast of the usual landing at the hut, he saw two canoes coming out from among the rice, and distant from him not more than a hundred yards. At a greater distance, indeed, it would not have been easy to distinguish such an object on the water at all. Instead of attempting to avoid these two canoes, the chief instantly called to them, drawing the attention of those in them to himself, speaking so loud as to be easily overheard by those who followed. \\""My young men are too late,"" he said. ""The pale-faces have been seen in the openings above by our warriors, and must soon be here. Let us land, and be ready to meet them at the wigwam."" \\Peter's voice was immediately recognized. The confident, quiet, natural manner in which he spoke served to mislead those in the canoes; and when he joined them, and entered the passage among the rice that led to the landing, preceding the others, the last followed him as regularly as the colt follows its dam. Le Bourdon heard the conversation, and understood the movement, though he could not see the canoes. Peter continued talking aloud, as he went up the passage, receiving answers to all he said from his new companions, his voice serving to let the fugitives know precisely where they were. All this was understood and improved by the last, who lost no time in turning the adventure to account. ",Answer the following question from the paragraph : Question: In what?,his canoe
"paragraph:  (CNN) -- Chelsea has rewarded Roberto di Matteo for guiding the English club to its first European Champions League triumph by appointing him as manager on a permanent basis. \\The Italian, who also guided the London team to English FA Cup glory, has been handed a two-year contract. \\The former Chelsea midfielder took temporary charge of the team following the sacking of Andre Villas-Boas in March, having previously served as the Portuguese's assistant. \\""Chelsea football club is delighted to announce that Roberto Di Matteo has been appointed manager and first-team coach on a permanent basis,"" the four-time English champion's website reported Wednesday. \\Di Matteo, who played for Chelsea between 1996 and 2002, oversaw the team's dramatic penalty shootout win in European club football's biggest match in May. \\""I'm obviously delighted to have been appointed as manager and first-team coach,"" the former West Bromwich Albion and MK Dons manager said. \\""We all achieved incredible success last season that made history for this great club. Our aim is to continue building on that and I'm already planning and looking forward to the squad's return for preseason."" \\Chelsea chief executive Ron Gourlay said he was confident the former Italy international could continue his early success. \\""Roberto's quality was clear for all to see when he galvanized the squad last season and helped the club make history, and the owner and board are very pleased he will be continuing his good work,"" said Gourlay. \\""We will be working closely with Roberto in the weeks ahead, some exciting signings have already been made and Roberto has had input into those. ",Answer the following question from the paragraph : Question: What title does Ron Gourlay hold?,Chelsea chief executive
"paragraph:  CHAPTER XXX \\THE DEFENSE OF THE CAVE--SAVED! \\""He has fainted, poor fellow!"" said Dick, as he bent over the unconscious form of Bostwick. \\""We ought to git back to the house at once!"" put in old Jerry. ""We must warn the cap'n and the others of what Lesher and his crowd intend to do."" \\""That is true, but we can't leave this poor chap here. He might die for the want of care,"" came from Tom. \\""We'll take him along,"" said Dick. ""Come, lift him up."" \\As carefully as they could they lifted the unconscious form up and bore it to where the rowboat was lying. Soon all were on board, and while Tom did his best to revive Bostwick, Dick and old Jerry bent their back to the oars, pulling as they had seldom pulled before. \\The beach in front of the house was almost gained when they heard a shot ring out, followed by several others. \\""Just as I feared!"" groaned Dick. ""Lesher and the others have begun the attack!"" \\""Then we'll have to be careful how we land,"" said old Jerry. ""If we aint, we may run right into 'em!"" \\There was no moon, but the stars shone brightly, so the beach line was dimly visible in the distance. Standing up in the bow, Tom saw a flash of fire from the jungle below the house, and heard the crack of a firearm. Then he saw some dark forms running along the beach. \\""Our party is making for the cave!"" he cried. ""We had better turn in that direction."" ",Answer the following question from the paragraph : Question: What did Tom and Dick do to help Bostwick?,bent their back to the oars
"paragraph:  (CNN) -- The one-eyed jihadist commander known as ""Mr. Marlboro"" is back in action. \\Moktar Belmoktar, whose group was responsible for the deadly attack on the BP oil facility in southern Algeria last January, appears in a new video released by his group -- the al-Mulathameen Brigade, which translates as the ""Signatories in Blood Brigade."" \\More than 30 foreign workers at the In Amenas facility in Algeria were killed during a three-day occupation of the plant. \\Belmokhtar is an Algerian but was more recently based in northern Mali, where he had combined kidnapping and smuggling (hence the nickname) with audacious terror attacks. He got his nickname for smuggling cigarettes across borders. \\Thought to be about 40, Belmokhtar was rumored to have been killed or wounded in March during the French military intervention in Mali. But in the new 51-minute video he is shown training fighters and paying tribute to another jihadist commander who was killed earlier this year. \\Belmoktar shows no sign of having been wounded. \\The video shows a group of jihadists preparing for two deadly raids in neighboring Niger in May, which targeted a French-owned uranium mine and a Nigerien military academy. \\""My brothers, all you should do is strive and make efforts with all determination and power to bring down their sites and harm their troops,"" Belmoktar says before embracing the group. At one point, he appears to be instructing recruits in using a rocket-propelled grenade. \\The government of Niger sent troops to join the French-led operation in Mali. ",Answer the following question from the paragraph : Question: Why is he called that?,For smuggling cigarettes.
"paragraph:  (CNN) -- On the sixth anniversary of the September 11, 2001, terrorist attacks, CNN asked users to share their stories of heroes from that fateful day and how they were being remembered. \\Sarah Glasgow of Easton, Pennsylvania, sent this photo of a 9/11 memorial made up of flags and shoes. \\Below is a selection of those responses, some of which have been edited for length and clarity. \\Joshua Miller of Peoria, Illinois I would like to remember Patrick ""Joe"" Driscoll today. He lost his life aboard United Airlines Flight 93 on the morning of September 11, 2001. He was traveling with his friend, Billy Cashman, from New Jersey to California for a hiking trip. Joe was a man in his 70s who had had heart bypass surgery and hip replacement surgery. These physical setbacks didn't stop a feisty guy from New York City. He went on to live an active life. He was a fighter who had a gentle side. He adored his grandchildren, his children, and his wife. Joe is greatly missed. So many of us are so very proud of him. To ease my grief over the losses we all share from that terrible day, I often think of the passage from the gospel of John: ""Greater love hath no man than this, that a man lay down his life for his friends."" Thank you, Joe. You did just that. \\Jennifer Brower of Alexandria, Virginia Ray Downey, the most decorated firefighter in the history of New York City, a tireless soldier in the battle for the safety and security of the people of the United States, and an amazing father and grandfather, died in the command post in New York City on September 11, 2001. I had the honor of getting to know Ray through our work on the Gilmore Commission. My daughter is named after him, and he is a constant source of inspiration whenever I am scared to do things. I do not know whether he was scared, but it certainly never stopped him. ",Answer the following question from the paragraph : Question: Whom he remembers?,"Patrick ""Joe"" Driscoll"
"paragraph:  CHAPTER XXII. \\CAUGHT. \\""We're early,"" said Beth, as they came to the edge of the woods and sighted the farm house; ""but that is better than being late."" \\Then she stopped suddenly with a low cry and pointed to the right wing, which directly faced them. Bob West turned the corner of the house, tried the door of Uncle John's room, and then walked to one of the French windows. The sash was not fastened, so he deliberately opened it and stepped inside. \\""What shall we do?"" gasped Patsy, clasping her hands excitedly. \\Beth was always cool in an emergency. \\""You creep up to the window, dear, and wait till you hear me open the inside door,"" said she. ""I'll run through the house and enter from the living-room. The key is under the mat, you know."" \\""But what can we do? Oughtn't we to wait until Uncle John and father come?"" Patsy asked, in a trembling voice. \\""Of course not. West might rob the cupboard and be gone by that time. We've got to act promptly, Patsy; so don't be afraid."" \\Without further words Beth ran around the back of the house and disappeared, while Patsy, trying to control the beating of her heart, stole softly over the lawn to the open window of Uncle John's room. \\She could not help looking in, at the risk of discovery. Bob West--tall, lean and composed as ever--was standing beside the cupboard, the doors of which were wide open. The outer doors were of wood, panelled and carved; the inner ones were plates of heavy steel, and in the lock that secured these latter doors were the keys that had so long been missing. Both were attached to a slender silver chain. ",Answer the following question from the paragraph : Question: Where was the thing Patsy need to get inside?,Under the mat
"paragraph:  Historically, the channel's programming consisted mainly of featured classic theatrically released feature films from the Turner Entertainment film library – which comprises films from Warner Bros. Pictures (covering films released before 1950) and Metro-Goldwyn-Mayer (covering films released before May 1986). However, TCM now has licensing deals with other Hollywood film studios as well as its Time Warner sister company, Warner Bros. (which now controls the Turner Entertainment library and its own later films), and occasionally shows more recent films. Turner Classic Movies is a dedicated film channel and is available in United States, United Kingdom, France (TCM Cinéma), Spain (TCM España), Nordic countries, Middle East and Africa. \\In 1986, eight years before the launch of Turner Classic Movies, Ted Turner acquired the Metro-Goldwyn-Mayer film studio for $1.5 billion. Concerns over Turner Entertainment's corporate debt load resulted in Turner selling the studio that October back to Kirk Kerkorian, from whom Turner had purchased the studio less than a year before. As part of the deal, Turner Entertainment retained ownership of MGM's library of films released up to May 9, 1986. Turner Broadcasting System was split into two companies; Turner Broadcasting System and Metro-Goldwyn-Mayer and reincorporated as MGM/UA Communications Co.",Answer the following question from the paragraph : Question: Who founded the station?,Ted Turner
"paragraph:  CHAPTER EIGHTEEN. \\A DAY OF CALM FOLLOWED BY A NIGHT OF STORM. \\A fine-toned manly voice was heard, as the boat approached the mission smack, singing one of the popular hymns which are now pretty well-known throughout the fishing fleets. \\""No mistaking that voice,"" said David Bright turning an amused look on Billy; ""Singin' Peter won't knock off till he's under the sod or under the sea."" \\""Then he'll never knock off at all,"" returned Billy, ""for Luke there has bin tellin' me that we only begin to sing rightly a song of praise that will never end when we git into the next world."" \\""That depends, lad, on whether we goes up or down."" \\""Well, I s'pose it does. But tell me, daddy, ain't the hand very bad? I'm so awful sorry, you know."" \\""It might ha' bin worse, Billy, but don't you take on so, my boy. We'll be all right an' ship-shape when we gets it spliced or fixed up somehow, on board the mission-ship."" \\The hand was not however, so easily fixed up as David Bright seemed to expect. \\""Come down an' let's have a look at it, David,"" said the skipper, when the vessel's deck was gained. \\By that time Singing Peter had stopped his tune, or, rather, he had changed it into a note of earnest sympathy, for he was a very tender-hearted man, and on terms of warm friendship with the master of the _Evening Star_. \\""It's a bad cut,"" said Peter, when the gaping gash in the poor man's palm was laid bare, and the blood began to flow afresh. ""We'll have to try a little o' the surgeon's business here. You can take a stitch in human flesh I daresay, skipper? If you can't, I'll try."" ",Answer the following question from the paragraph : Question: What was heard,A fine-toned manly voice
"paragraph:  (CNN) -- ""We looked at ports in Europe. We looked at street signs. Things on the menu."" \\In the end, comedian Kevin Nealon and his wife decided to name their son Gable. As in Clark Gable. They simply liked the sound of it, and most people will agree it's far better than Helsinki, 43rd Avenue or Never Ending Pasta Bowl. \\This was 4Â½ years ago, but the former ""Saturday Night Live"" star still loves to talk about his son. In 2009, he even published a book about becoming a first-time dad called ""Yes, You're Pregnant, But What About Me?"" \\""We finally got the pacifier away from him,"" Nealon says of Gable. ""And now we're potty training him. It would've been easier to get the pacifier away from him if we taught him how to pee on it."" \\Nealon describes himself as a hands-on father but admits, ""It's because I don't work that much."" \\In that sense, he sort of sounds like his character, Doug Wilson, on Showtime's ""Weeds,"" a pot-smoking, former CPA-drifter with a pretty much nonexistent moral compass. However, as you'll see and hear in our recent video interview, Nealon and Doug Wilson are really nothing alike. \\""I have a lot of hobbies, and I have a lot of friends,"" he says. ""And I'm not so insecure as Doug."" \\They have even greater differences, but everyone still loves Doug. For all his faults and failures, fans just can't get enough of the self-centered, shamed city councilman of fictional Agrestic, and he has become, perhaps, Nealon's most beloved character on TV. This, from the man who spent a decade on ""SNL,"" ""entertaining viewers with Hans and Franz and Mr. Subliminal. ",Answer the following question from the paragraph : Question: what does it stand for?,"""Saturday Night Live"""
"paragraph:  Criminal Law is the body of law that relates to crime. It proscribes conduct perceived as threatening, harmful, or otherwise endangering to the property, health, safety, and moral welfare of people. Most criminal law is established by statute, which is to say that the laws are enacted by a legislature. It includes the punishment of people who violate these laws. Criminal law varies according to jurisdiction, and differs from civil law, where emphasis is more on dispute resolution and victim compensation than on punishment. \\The first civilizations generally did not distinguish between civil law and criminal law. The first written codes of law were designed by the Sumerians. Around 2100–2050 BC Ur-Nammu, the Neo-Sumerian king of Ur, enacted the oldest written legal code whose text has been discovered: the ""Code of Ur-Nammu"" although an earlier code of Urukagina of Lagash ( 2380–2360 BC ) is also known to have existed. Another important early code was the Code Hammurabi, which formed the core of Babylonian law. Only fragments of the early criminal laws of Ancient Greece have survived, e.g. those of Solon and Draco. \\In Roman law, Gaius's ""Commentaries on the Twelve Tables"" also conflated the civil and criminal aspects, treating theft (""furtum"") as a tort. Assault and violent robbery were analogized to trespass as to property. Breach of such laws created an obligation of law or ""vinculum juris"" discharged by payment of monetary compensation or damages. The criminal law of imperial Rome is collected in Books 47–48 of the Digest. After the revival of Roman law in the 12th century, sixth-century Roman classifications and jurisprudence provided the foundations of the distinction between criminal and civil law in European law from then until the present time.",Answer the following question from the paragraph : Question: Did Rome draw a line between civil and criminal law?,yes
"paragraph:  CHAPTER IV \\THE WAY INTO PRINT \\Sam Cotting's General Store at Millville divided importance with Bob West's hardware store but was a more popular loafing place for the sparse population of the tiny town. The post office was located in one corner and the telephone booth in another, and this latter institution was regarded with much awe by the simple natives. Once in awhile some one would telephone over to the Junction on some trivial business, but the long-distance call was never employed except by the ""nabobs""--the local name for John Merrick and his nieces--or by the manager of the new mill at Royal, who had extended the line to his own office in the heart of the pine forest. \\So, when Uncle John and the girls entered Cotting's store and the little gentleman shut himself up in the telephone booth, a ripple of excitement spread throughout the neighborhood. Skim Clark, the youthful hope of the Widow Clark, who ""run the Emporium,"" happened to be in the store and he rushed out to spread the news that ""the nabob's talkin' to New Yoruk!"" \\This information demanded immediate attention. Marshall McMahon McNutt, familiarly known as ""Peggy"" McNutt--because he had once lost a foot in a mowing machine--and who was alleged to be a real estate agent, horse doctor, fancy poultry breeder and palmist, and who also dabbled in the sale of subscription books, life insurance, liniment and watermelons, quickly slid off his front porch across the way and sauntered into Cotting's to participate in the excitement. Seth Davis, the blacksmith, dropped his tools and hurried to the store, and the druggist three doors away--a dapper gentleman known as Nib Corkins--hurriedly locked his door and attended the meeting. Presently the curious group was enlarged by the addition of Nick Thome the liveryman, Lon Taft, a carpenter and general man-of-all-work, and Silas Caldwell the miller, the latter a serious individual who had ""jest happened to come acrost from the mill in the nick o' time."" ",Answer the following question from the paragraph : Question: were they the one who talked about the phone call?,Yes
