input,instruction,span_start,span_end,span_text,output
,Who split up the area?,0.0,1439.0,the grandsons of Charlemagne divided the realm into three parts.,the grandsons of Charlemagne
,Who does she feel will be critiquing her?,0.0,1084.0,0,all eyes
,What would he have done had he known?,663.0,694.0,0,Gone with him.
,What time did the earthquake happen?,412.0,435.0,It struck at 4:04 a.m. ,At 4:04 a.m
,Where?,598.0,610.0,at a hospita,at a hospital
,Was that more than before?,1116.0,1172.0,0,Yes
,How many trophies was Bayern awarded in 2013?,683.0,743.0," Bayern hardly needs it, since it won five trophies in 2013 ",five
,Was anyone associated with royalty?,267.0,354.0,"his latter was the royal regiment, a kind of Household Guards, to which the Kings Chaka",yes
,and?,692.0,771.0,She added a special growing mix from the garden store to make the soil better. ,added a special growing mix
,Did she fight to survive?,698.0,774.0,"The hope of seeing her son again, she said, inspired her fight to survive. 
",yes
,Where was it?,135.0,189.0,Sunday's inaugural Grand Prix of the Americas in Texas,Texas
,did he wake?,1387.0,0.0,awoke,yes
,With whom?,1079.0,1107.0,the beautiful young visitor ,the beautiful young visitor
,What is that close to?,89.0,139.0,"Northcutt's woods, quarter of a mile from Coniston",Coniston
,What type of clothing was the suspect wearing?,0.0,179.0,dark,dark
,what is the normans in french ?,40.0,48.0,Normands,Normands
,How many bit code does UCS-2 use?,0.0,1317.0,16-bit ,16-bit
,Who was going on trips every day?,1023.0,1047.0,Stanley's daily journeys,Stanley
,Who intends to reside there?,1192.0,0.0,King Willem-Alexander,King Willem-Alexander
,How old is Jorge Barahona?,367.0,0.0,"Jorge Barahona, 53",53
,Are they a boy or a girl?,34.0,36.0,he,boy
,Who was raiding Mexico in the north?,870.0,926.0,Native American raids in Mexico's sparsely settled north,Native Americans
,what is it that fell apart in the air?,307.0,321.0,the spacecraft,the spacecraft
,What is Ryan's current role?,728.0,777.0,Ryan's role as the chief fiscal expert in the GOP,the chief fiscal expert in the GOP
,What industries were prominent in Glasgow during the Industrial Revolution?,228.0,231.0,shipbuilding and marine engineering,shipbuilding and marine engineering
,Was there only one light in the house behind them?,228.0,277.0,There was only one light in the house behind them,yes
,Who was another?,1188.0,1208.0,"there is Miss Colza,",Miss Colza
,anything else?,357.0,414.0,We could make money by making some lemonade and iced tea ,iced tea
,Who allowed Lemsford to be invited to the main-top?,857.0,863.0,I had ,I had
,Who was his father?,258.0,304.0,He was the son of Flavius Valerius Constantius,Flavius Valerius Constantius
,Was he anticipating that?,83.0,119.0, It was all so sudden and unexpected,No
,When?,190.0,355.0,"Bernstein helped start the ""British invasion"" by bringing The Beatles to Carnegie Hall and later, to New York's Shea Stadium for landmark concerts in 1965 and 1966. ",1965 and 1966
,Who?,858.0,0.0,Van Houten helped hold down Rosemary LaBianca while other Manson family members stabbed her ,Other Manson family members.
,What is Luminos,1192.0,1294.0,Luminos is University of California Press’s open access response to the challenged monograph landscape,their open access response to the challenged monograph landscape
,How old?,1075.0,1077.0,26,26
,Who were the pirates then handed over to?,558.0,701.0,"""The ship of the pirates was destroyed by the Danish navy, and the pirates were captured and handed to the Dutch authorities,"" de Bruin said. 
",Dutch authorities
,What color was the taxt that Bobby and his grandmother took to the park?,732.0,0.0,0,yellow
,Did the suit work?,467.0,482.0,The suit worked,Yes
,For how long?,140.0,0.0,22 January 1901 until his death in 1910,22 January 1901 until his death in 1910
,what on?,968.0,1006.0,"High up, on one of the topmost benches",bench
,To whom?,159.0,197.0, heard Desgas giving orders to his men,his men
,Did they have other kids?,1072.0,1110.0,Shriver was the fifth of nine children,Yes
,Who gave Francis the title of pope?,1191.0,1225.0,a papal conclave elected Bergoglio,a papal conclave
,What does UML stand for?,0.0,35.0,The Unified Modeling Language (UML),Unified Modeling Language
,When?,553.0,587.0,At the peak of the Bruneian Empire,At the peak of the Bruneian Empire
,What did they think happened on Judgement day?,248.0,270.0,0,spoke the doom of fate
,did he trust himself to say good bye?,574.0,633.0,We dared not trust ourselves to say 'Good-by!' last evening,no
,did the assyrians rule only once?,-1.0,-1.0,0,unknown
,Where do they put the lemonade stand?,600.0,615.0,by the sidewalk,by the sidewalk
,Who inspired him in that?,1178.0,1191.0,Adam Sedgwick,Adam Sedgwick
,What is the Cleeve?,484.0,577.0," they duly attended church, and Lady Mason was seen by all Hamworth sitting in The Cleeve pew",Church
,And what did Randiv dismissed Dravid ?,1025.0,1134.0,"Ajantha Mendis then trapped Vijay for 58 before Randiv dismissed Rahul Dravid in similar fashion for three. 
",In the same way
,What's the capital?,406.0,447.0, Its capital and largest city is Pristina,Pristina
,What doe Hungarians call their language?,12.0,0.0,"magyar nyelv""","magyar nyelv"""
,What are Uranus and Neptune made up of mostly?,1025.0,1222.0,"Uranus and Neptune, are ice giants, being composed mostly of substances with relatively high melting points compared with hydrogen and helium, called volatiles, such as water, ammonia and methane. ","substances with relatively high melting points compared with hydrogen and helium, called volatiles, such as water, ammonia and methane."
,What succeeded Goryeo?,1388.0,0.0,Joseon,Joseon
,How old was the woman who died?,18.0,76.0,A 35-year-old woman on a first date plummeted to her death,35 years old.
,In what field is this used?,0.0,46.0,"In chemistry, the standard state of a material",chemistry
,Is this a common problem?,1208.0,0.0,"About 4% to 6% of U.S. children under age 18 have food allergies, and the latest statistics show this percentage may be on the rise. ",Yes
,what did he say about the US reaction?,1366.0,1494.0," the U.S. government is ""deeply concerned"" about Nabil's sentence. ""This is not the kind of progress we're looking for,"" he said","The U.S. government is ""deeply concerned"" about the sentence"
,Why is this?,824.0,862.0, that protection comes at a high price,Protection comes at a high price.
,Did you get out?,1208.0,1272.0,He checked me for butterflies and then let me get out of there! ,Eventually
,Who does Mrs Presty see as the enemy?,32.0,347.0,"Brisk and smiling, Mrs. Presty presented herself in the waiting-room. ""We have got rid of our enemy!"" she announced, ""I looked out of the window and saw him leaving the hotel."" She paused, struck with the deep dejection expressed in her daughter's attitude. ""Catherine!"" she exclaimed, ""I tell you Herbert has gone,",Herbert
,what did he do when they got home?,0.0,1540.0,playing Legos,played Legos
,about how old are the McMutrie's?,228.0,253.0,"The couple, in their 50s,","in their 50s,"
,Why?,612.0,842.0,0,so that he might become familiar with the streets
,Have the won more than that in Winners' Cups?,287.0,325.0,", a record four UEFA Cup Winners' Cup,",No
,What part of the Country is the story located in?,0.0,433.0,0,New-England
,"What does the title of your new book, ""Raylan,"" signify?",156.0,164.0,u . s . marshal raylan givens,u . s . marshal raylan givens
,And how old is he?,296.0,350.0,"olice arrested Sawan Masih, a Christian in his mid-20s",mid-20s
,How many seconds more than 24 hours clock time can solar time be?,1077.0,1096.0, or 29 seconds more,up to 29 seconds
,What type of alphabet did that system use?,632.0,668.0,0,a modified Latin alphabet
,on what dad did the interview occur?,233.0,0.0,spoke Sunday to CNN ,Sunday
,When did they move to Arsenal Stadium?,694.0,758.0,"n 1913, the club crossed the city to Arsenal Stadium in Highbury",1913
,What was Dr. Torin Finver's job prior to being hired to help with the AEG Live study?,100.0,102.0,a pizza parlor,a pizza parlor
,When?,731.0,755.0,0,2006
,What were the Shramanic philosophies propagated by Mahavira and Gautama Buddha?,341.0,343.0,magadha,magadha
,who could he trust?,444.0,478.0, He could only trust to Mr. Wyvil',Mr. Wyvil'
,Which one is?,80.0,130.0,the second oldest after Cambridge University Press,Cambridge University Press
,What is his wife's name?,197.0,238.0,for some of Mrs. Jo's ideas were so droll,Mrs. Jo
,What did Dick think he heard when they stopped to call for Tom?,290.0,0.0,tom calling,tom calling
,How many local-language editions of the magazine are circulated worldwide?,163.0,164.0,nearly 40,nearly 40
,What is that?,0.0,30.0,Chlorine is a chemical element,a chemical element
,Is it being put out by Mike?,661.0,838.0,"The interview comes as a new version of the song, first released on Jackson's 1991 ""Dangerous"" album, is being recorded by a collection of artists for release in late October. 
",No
,What is his last name?,0.0,103.0,0,Ahmadinejad
,Did Ebbo restrain himself?,1382.0,1475.0,"""It would be but as he served my father!"" muttered Ebbo, forced, however, to restrain himself",Yes
,Does the Duke trust Lady Cantrip?,781.0,824.0,"es;--I have trusted you, and do trust you. ",yes
,Did the city frequently change hands?,0.0,1007.0,due to frequent plagues and multiple successive empires,yes
,What was the unnamed ghost's comment about the commentators?,233.0,279.0,"“ that these commentators always kept in the most distant quarters from their principals , in the lower world , through a consciousness of shame and guilt , because they had so horribly misrepresented the meaning of those authors to posterity . ”","“ that these commentators always kept in the most distant quarters from their principals , in the lower world , through a consciousness of shame and guilt , because they had so horribly misrepresented the meaning of those authors to posterity . ”"
,What charges could he get?,400.0,429.0,a misdemeanor charge accusing,a misdemeanor
,What university did JFK graduate from?,145.0,0.0,harvard,harvard
,What was it?,125.0,148.0,Yellow Wing the Flicker,the Flicker
,what happened then?,436.0,555.0,0,Polish state established
,What would he watch?,33.0,87.0,He would wake up and watch Cartoons on Cartoon Network,Cartoons.
,who came up with the idea of having a main character out of the chorus,1333.0,1491.0,"But then in ""Poetics"", Aristotle describes how a poet named Thespis introduced the idea of having one actor step out and engage in a dialogue with the chorus.",Aristotle
,Why?,819.0,0.0,to speak to the Seneca,to speak to the Seneca
,What would happen there?,0.0,257.0,"Assizes, when the burglars would be tried",the burglars would be tried
,what kind?,619.0,641.0,shut up in the tunnel ,shut up in the tunnel
,Is Robinho happy about the trade?,972.0,1060.0,"I liked the project, and when City made the offer to Real Madrid, I decided to come here",yes
,Who was Raul's brother?,305.0,0.0,"Fidel Castro, beset by illness, ceded power to his younger brother, Raul",Fidel Castro
,What had they just got done with?,140.0,0.0, after a round of golf. ,Playing golf.
,What else did he find?,336.0,363.0,0,a safety pin and an earring
,And the other?,306.0,321.0,the strike rate,the strike rate
,Was it ever the worlds largest media conglomerate?,249.0,304.0,0,yes
,Did Albert like the topic everyone was talking about?,0.0,844.0,painful listening t,no
,What did Randan's dad think caused the tipped over trash can?,193.0,197.0,the bunny that ran away,the bunny that ran away
,How long has the struggle in Chechnya gone on?,981.0,1052.0,"A bitter battle for an independent Chechnya, lasting almost two decades",almost two decades
,What were they expecting from him?,1067.0,1158.0,"that we're expecting something from you in the way of initiative, not to say leadership?"" 
",Initiative and Leadership
,When she got her first Academy Award?,435.0,522.0,"Holm won the best supporting actress Academy Award for ""Gentleman's Agreement"" in 1947.",1947
,Did he have any partners for that?,438.0,544.0,0,yes
,was it a short friendship?,1268.0,1294.0,his longtime friend McCain,No.
,How long had Mr. Boone's visit been for?,55.0,61.0,a day.,a day.
,what did he say the first time he spoke?,572.0,0.0,"""Sixty!"" said Joseph Poorgrass. ","""Sixty!"""
,Who was talking about the incident?,9.0,0.0,Chris Brown has some words of advice for suspended NFL player Ray Rice.,Chris Brown
,"What skill did Baker, the youngest brother, possess?",98.0,99.0,0,magic tricks
,Does Sadie think Bob minds her wealth?,1306.0,1414.0,0,No.
,What is he sometimes called because of his restoration activities?,547.0,637.0,"Because of his restoration activities, Justinian has sometimes been called the ""last Roman",the last Roman
,Did he like his job?,43.0,0.0,He really liked his job ,Yes
,Who became prisoners?,204.0,0.0,Rochecliffe and Joceline were made prisoners,Rochecliffe and Joceline
,what prayer did he utter before he was shot?,660.0,839.0,"
""As soon as I saw the man, I knew it was over for me,"" Nzeribe, 33, said about the gunman. ""The only thing I could do was say a last prayer, which was 'Blood of Jesus cover me.' ",Blood of Jesus cover me
,How long had the been residing there?,0.0,329.0,"apparently lived for 15 years while he was being hunted by the FBI. 
",15 years
,whose home was she at?,60.0,99.0,when she left Madame Melmotte's house a,Madame Melmotte's
,Was someone in charge?,308.0,351.0,"Mr. Meadowcroft interposed his authority. 
",yes
,Who did they fight with for control?,776.0,831.0, became a battleground between the Romans and Parthians,the Parthians
,Did anyone notice?,111.0,196.0, even the grown-ups were sorry and condescended to take an interest in our troubles. ,yes
,How did Button show that she liked Sam?,182.0,198.0,sam put his finger through the bars in button ' s cage and button licked his fingers,sam put his finger through the bars in button ' s cage and button licked his fingers
,what did the library do with the video?,0.0,1039.0,0,posted a video clip online
,What did he have to do before leaving the country?,92.0,130.0,who was forced to consign the painting,he was forced to consign the painting
,What Sea is to the north,389.0,419.0,Mediterranean Sea to the north,Mediterranean Sea
,Where was Washington sworn in?,894.0,906.0, in New York,in New York
,What was the bail amount set for William Jonathan Orders?,0.0,87.0,0,"$ 5 , 750"
,What did he do and say in his victory speech?,628.0,797.0,"In his victory speech, Tillis slammed Hagan's record, tying her to Senate Majority Leader Harry Reid and calling them ""an echo chamber for President Obama's worst ideas.","He slammed Hagan's record, tying her to Senate Majority Leader Harry Reid and calling them ""an echo chamber for President Obama's worst ideas."""
,what month?,1237.0,1255.0,0,September
,Why?,478.0,0.0,her mother had a surprise for her,her mother had a surprise for her
,What rumors was downplayed?,1438.0,1505.0,Sherchan downplayed rumors he was returning due to health concerns.,That Sherchan was returning due to health concerns.
,Which one?,547.0,572.0,"Wake Island to the north,",Wake Island
,During what?,1372.0,1507.0,0,during the Spanish circumnavigation of the world
,What was the nickname of this alliance in the Roman Senate?,480.0,489.0,Populares,Populares
,What happened to him,309.0,332.0,0,He was caught.
,What is his other duty?,1284.0,1330.0,0,senior product manager
,Where is Dallas from?,788.0,824.0,Florida businessman Dallas Hostetler,Florida
,In what state?,753.0,761.0,0,New York
,Who left after Amos left?,1183.0,1260.0,"Mr. Merrill's answer to this question was a wink, whereupon he, too, departed",Mr. Merrill
,What are the potential drawbacks of using pesticides?,322.0,327.0,toxicity to humans and other species,toxicity to humans and other species
,What preparations had the captain been making for his enterprise?,56.0,63.0,0,meditations over the box and its contents
,Who stopped the dance classes?,1915.0,1930.0,Lady Merrifield,Lady Merrifield
,what inspired him to enlist?,730.0,814.0,"Following the attack on Pearl Harbor in 1941, Bush postponed his university studies,",the attack on Pearl Harbor
,what does she like to play with?,22.0,53.0,She likes to play with her toys,She likes to play with her toys
,How many basic needs do they have?,1174.0,1315.0,"The funding will provide support to ensure basic needs for citizens such as health, water, sanitation and to support the agricultural sector,",Three
,What charities did MoMo's owner support?,242.0,279.0,"redeemer presbyterian disaster relief , desire street ministries , louisiana teachers save our students fund , cavalier rescue usa , musical arts society of new orleans , the louisiana spca , and teach for america","redeemer presbyterian disaster relief , desire street ministries , louisiana teachers save our students fund , cavalier rescue usa , musical arts society of new orleans , the louisiana spca , and teach for america"
,Is it the largest city in  Germany?,0.0,0.0,Berlin is the capital and the largest city of Germany ,yes
,Was the path long and winding?,75.0,0.0,The path to the lake was long and winding.,yes
,Who settled the area?,818.0,857.0,Guyana was settled by the Dutch before ,the Dutch
,When did the Providence Journal begin daily publication?,208.0,211.0,"july 21 , 1829","july 21 , 1829"
,Do he and Obama get along?,319.0,371.0,"Obama considers Carney ""one of my closest friends."" ",Yes
,Can you name one of its acquired subsidiaries?,299.0,385.0,0,OpenDNS
,What is Maine's job?,513.0,0.0,"Mack Maine, president of Wayne's Young Money label",president of Wayne's label
,What organization did Rev. Fred Shuttlesworth help found?,257.0,260.0,southern christian leadership conference,southern christian leadership conference
,Was it food?,0.0,105.0,"He liked to eat anything that was put in front of him, even if it wasn't food.",not always
,What were the cops buying the doctor?,1611.0,1631.0,heroin and oxycodone,heroin and oxycodone
,What did the King promise to the two strangers?,129.0,0.0,0,send some of his own supper
,what happened in place of physical punnishment?,209.0,0.0, lecturing,lecturing
,What is the name attributed to the men involved in the establishment of Johannesburg?,270.0,274.0,one or all of three,one or all of three
,what other nature landmark is the city close to?,532.0,553.0,0,the Falls of the Ohio
,How long ago?,949.0,967.0," 13,500 years ago,","13,500 years ago. At least 13,500 years ago."
,How many buildings are there?,583.0,632.0,expanded to include more than 584 major buildings,584
,who runs it?,586.0,666.0,OMIM is produced and curated at the Johns Hopkins University School of Medicine ,the Johns Hopkins University School of Medicine
,Who had the special?,610.0,649.0,Alyssa enjoyed the restaurant's special,Alyssa
,What decision did she make after that movie?,9.0,145.0,"Julia Roberts, star of the new movie ""Eat, Pray, Love,"" which tells the story of a soul-searching character, is now a practicing Hindu. ",She became a practicing Hindu
,What is the name of the only remaining laboratory of Nikola Tesla?,87.0,90.0,wardenclyffe,wardenclyffe
,Anything else?,0.0,442.0,0,Yes
,What two countries were fighting?,27.0,0.0,"General Clausel fell back as Wellington advanced to Burgos, and the British laid siege to the castle of that place. Like all Wellington's sieges this was commenced with a wholly insufficient train of artillery, and without the time necessary to carry out regular siege operations. A considerable portion of the army were posted so as to watch Clausel. The place was badly fortified, but the French",The French and the English
,Was this his first goal of the year?,892.0,922.0,for his first goal this year. ,yes
,what did he think about that?,297.0,312.0,He felt curious,curious
,Who were Muslims likened to?,462.0,467.0,Mafia,Mafia
,What is Wenran Jiang do for a job?,1214.0,1240.0,"Wenran Jiang, a professor ",professor
,what happened to him?,1506.0,1529.0,gravely injured in Iraq,injured in Iraq
,Was he winded?,1308.0,1387.0,"as they stood under the lee of a wall, panting from the effects of their run, """,yes
,What did Jessie do to keep from shrieking with fright?,183.0,0.0,all she could do,all she could do
,What rivers are nearby?,1622.0,1782.0,"In the valleys and lowlands of south and east Devon the soil is more fertile, drained by rivers including the Exe, the Culm, the Teign, the Dart, and the Otter.","the Exe, the Culm, the Teign, the Dart, and the Otter"
,what was she doing with the drugs?,379.0,0.0,sale,saling
,Where is the NIED headquarters?,516.0,525.0,Okahandja,Okahandja
,Did Dick say he would let him leave?,905.0,950.0,"You can't go until you promise to keep quiet,",no
,Baronets are a level in what?,23.0,46.0,the British aristocracy,the British aristocracy
,What did the old man tell them to do?,670.0,0.0,"""I want you to go away!""",go away
,Who enjoyed bathing?,1045.0,1063.0,Ginger loved baths,Ginger
,Who else been interviewed?,1354.0,1372.0,0,Al-Balawi's mother
,Who was meeting?,0.0,467.0,"""Welcome home, Fischer!",Van Teyl and Fischer
,Who was one of them?,47.0,0.0, soon after Fuller and his daughter,Fuller
,Was she in her thirties while producing it?,1230.0,0.0,She spent most of her teenage years touring,no
,What did Abby do?,595.0,613.0,0,"Said, Scram"
,What is that episode titled?,1354.0,1429.0,"""The Middle"": The episode, appropriately titled ""Halloween III: The Driving",Halloween III: The Driving
,Was the territory small>,328.0,345.0,a small peninsula,yes
,what was it ?,476.0,482.0,breach,breach
,What is the article about?,18.0,21.0,RNA,RNA
,when does he get paid?,247.0,267.0, first of each month,first of each month
,what is one of the historical names for it?,19.0,56.0,0,Constantinople
,What was Obama's job in 2008?,0.0,394.0,0,he was a senator
,Who was that?,373.0,386.0,Ronald Reagan,Ronald Reagan
,Are the political parties pointing fingers at each other?,0.0,-1.0,0,unknown
,How old was he?,671.0,712.0,"lice say before Murray, 24, went down, he",24
,Did Mary think she should go with only the small escort?,532.0,715.0,"
""Methinks thou be very rash indeed, my Bertrade,"" said Mary. ""Wert my father here he would, I am sure, not permit thee to leave with only the small escort which we be able to give."" ",No
,how many nations surround its boarders?,461.0,577.0," bordered by Italy to the south, France to the west, Germany to the north, and Austria and Liechtenstein to the east",five
,How long after the United Nations General Assembly meeding did Obama win the peace prize?,9.0,24.0,A couple weeks ,A couple weeks
,did he call them prejudiced?,667.0,0.0,enlightened elite,yes
,Who did he talk about in his speech?,0.0,1210.0,Obama,Obama
,Was he married?,805.0,884.0,"Wagenhoffer's wife, Michelle, alerted police after he sent her a text message. ",yes
,What bird was there?,1511.0,1527.0,ong-legged stork,ong-legged stork
,What year?,94.0,0.0,Urartu was established in 860 BC,Established 860 BC
,Who is in charge of the police force?,604.0,617.0,the military ,the military
,What is the main harbour in Funchal?,352.0,355.0,0,cruise liner dockings
,Was that his first score ever?,324.0,369.0,"Fernando Torres, his 99th in English football",No
,What happened in 1982?,784.0,864.0,he signed with Sire Records (an auxiliary label of Warner Bros. Records) in 1982,Signed with Sire Records.
,When did he pass away?,847.0,866.0,in office in 1979. ,in 1979.
,is it by any other countries?,792.0,841.0,continent's current overland boundary with Asia. ,yes
,Where had Mrs. Jackson gone to?,628.0,0.0,"Mrs. Jackson had gone into the kitchen, ",the kitchen
,Who is the article mostly about?,0.0,218.0,"(CNN) -- Serena Williams underlined her status as the overwhelming favorite for the women's U.S. Open title with a crushing ""double bagel"" win over Carla Suarez Navarro in the quarterfinals of the New York grand slam. ",Serena Williams
,who is he?,1097.0,1149.0,"an author, TV historian and former network executive","an author, TV historian and former network executive"
,Who attacked first?,0.0,734.0,0,The Boers
,where is it used?,48.0,142.0," focus on issues such as education and employment, specifically granting special consideration",employment
,When did the Chicago Cubs play their first game?,540.0,579.0,The team played its first games in 1876,1876
,Did Shane get a scholarship?,755.0,0.0,0,yes
,For how much?,-1.0,0.0,unknown,unknown
,anything else ?,143.0,166.0, Masters titles record ,Masters titles record
,What are they referred to as in Russia?,870.0,913.0,the Russian term Protivovozdushnaya oborona,Protivovozdushnaya oborona
,What does the term Hokkien mean?,658.0,790.0,"The term Hokkien (福建; hɔk˥˥kɪɛn˨˩) is itself a term not used in Chinese to refer to the dialect, as it simply means Fujian province.",Fujian province.
,What did they carry?,1459.0,1525.0,"A crowd of 15–20,000 people, carrying flags and patriotic banners,",flags and patriotic banners
,Where is Malta?,0.0,144.0,"Malta, officially known as the Republic of Malta (), is a Southern European island country consisting of an archipelago in the Mediterranean Sea",in the Mediterranean Sea
,What color were they?,190.0,232.0,oey played with some blue and green blocks,blue and green
,What surprised people about Bush's announcement?,458.0,562.0,0,The pre-holiday timing of the announcement.
,What did the puppy want?,0.0,340.0,wanted James to pet him.,it wanted James to pet him
,Whose house was it?,0.0,43.0,Tom had to fix some things around the house,Tom
,How was he?,520.0,547.0,He was a happy go lucky guy,happy go lucky
,Is that a rich section,264.0,379.0,The next was to head to a mosque in his middle-class Palestinian neighborhood of Shuafat in Jerusalem for prayers. ,No
,Which match were most people watching?,416.0,0.0,McIlroy and his American rival Fowler,McIlroy and his American rival Fowler
,What is its name?,1375.0,1384.0,0,Sonatrach
,From where?,0.0,71.0,"Albert Arnold Gore Jr. (born March 31, 1948) is an American politician ",America
,Due to what?,1352.0,1376.0, their compiling methods,their compiling methods
,Did Tom offer Dick to go with him?,1100.0,1186.0,"you can have a seat in this one; we're going there, and our passenger does not object.",yes
,Is he pleased that Berenger is taking his sword?,1227.0,1252.0,"Not the sword,' said Pare",No
,What's it called?,346.0,381.0,"at the 57,000-capacity Imtech Arena",Imtech Arena
,And who beat him in the Australian?,827.0,879.0, Andy Murray in January's Australian Open semifinals,Andy Murray
,As far as where?,1248.0,1258.0,0,Halmahera
,Why?,1484.0,1679.0,"""Of course! And thank goodness, here they are! Together, too! If there's anything I love, it's to start one of my dinners with a scandal. Josephine, did you bring Mr. Wingate or did he bring you?",She liked scandal
,How many bouquets were finished,1284.0,1298.0,Three or four ,Three or four
,What was considered deplorable?,1131.0,0.0,but to take steps would be deplorable,taking steps
,What is the name of the construction equipment company in the southeastern city of Grenoble?,40.0,42.0,0,caterpillar
,How many stages does the Pleistocene have?,507.0,0.0,0,Four .
,Where?,368.0,450.0,delivering remarks at a Democratic National Committee rally at USC's Alumni Park. ,at USC's Alumni Park.
,What did Striped Chipmunk think the Best Thing in the World must be?,127.0,137.0,heaps and heaps of nuts and acorns,heaps and heaps of nuts and acorns
,Is there a ceremony to go with it?,0.0,63.0,Royal assent is sometimes associated with elaborate ceremonies.,sometimes
,what?,14.0,250.0,"FERN Mullins rushed into the house on a Saturday morning early in September and shrieked at Carol, ""School starts next Tuesday. I've got to have one more spree before I'm arrested. Let's get up a picnic down the lake for this afternoon.",to go on a picnic
,is it the national animal?,1409.0,1444.0,"Bengal tigers, the national animal.",the Bengal tiger
,Was he yelling when he handed it to Edie?,1500.0,1579.0,"he rose straight up from the table, handed the telegram to Edie without a word,","No, he didn't say a word."
,How many Schlitterbahn water parks are there?,370.0,370.0,five,five
,Was Cecil ever arrested before?,1133.0,1170.0,Cecil was briefly jailed in September,Cecil was briefly jailed in September   Yes
,did this escalate into a global conflict?,1441.0,1468.0,developed into a global war,yes
,Who was the DS's main competitor?,817.0,865.0,main competitor was Sony's PlayStation Portable ,Sony's PlayStation Portable
,was jack happy with john?,0.0,421.0,This upset Jack ,no
,What did the constable bring out of the burning building thinking it was alive?,434.0,447.0,a naked stone statty of a girl with a chain round her wrists,a naked stone statty of a girl with a chain round her wrists
,Where was near the site of four rush-hour shootings?,831.0,914.0,0,the LBJ Freeway
,Had Lois consented to be Saton's wife?,1283.0,1314.0,She has consented to be my wife,yes
,for how long?,462.0,0.0,Johnny waits outside for an hour,an hour
,What year?,975.0,0.0,Republican Party's 2012 presidential nominee,2012
,What kind of people are these folks?,26.0,61.0,0,underground Chinese artists
,Who was in charge of Colby Hall while Colonel Colby was away fighting in France?,152.0,153.0,captain dale,captain dale
,Where would they go to on the train?,574.0,707.0,"""Mr. Colby wouldn't recommend Putnam Hall if it wasn't all right,"" remarked Tom. ""Jack, whip up the team, or we'll miss that train."" ",Putnam Hall
,What is Abidjan?,0.0,20.0,"Abidjan, Ivory Coast","Abidjan, Ivory Coast"
,What is a steradian?,398.0,468.0,"Separately, the SI unit of solid angle measurement is the steradian. 
",the SI unit of solid angle measurement
,What were they the picture of?,367.0,0.0,stubborn discontent,stubborn discontent
,Does he regret what he said?,236.0,276.0,He very much regrets the remarks he made,Yes
,when she was doing what?,363.0,419.0, Dame Gudrid went briskly about her household avocations,while completing her household avocations
,Did he like it better than last year?,405.0,447.0,It was much better than his last birthday.,Yes
,What where they?,70.0,187.0, Her front door was wide open. She went into the living room and saw that her television set and stereo were missing.,her television set and stereo
,What was his change?,881.0,891.0,one dollar,one dollar
,Is it spoken elsewhere?,123.0,218.0,Outside Hungary it is also spoken by communities of Hungarian people in neighbouring countries ,yes
,in which round?,111.0,206.0,the Spaniard was given an almighty scare in the quarterfinals of the Monte Carlo Masters Friday,the quarterfinals
,What was special about it?,0.0,40.0,0,it was magical
,what station did he go to?,28.0,45.0, Transham station,Transham station
,What were their names?,42.0,217.0,0,tom dick sam mumps
,What was her first name?,1167.0,1172.0,artha,artha
,Is this unusual?,86.0,0.0,"is a standard 3.5 mm (1/8"") ",no
,Has it declared its independence?,1296.0,1474.0,nglicanism forms one of the branches of Western Christianity; having definitively declared its independence from the Holy See at the time of the Elizabethan Religious Settlement.,yes
,what did he do in that room?,76.0,0.0,leave the little room where Silas Whipple had lived and worked and died,lived and worked and died
,Who's this about?,9.0,29.0,0,Camille Olivia Hanks
,What was the distinction that caused Miss Knag to be silenced?,350.0,356.0,0,the voice of madame mantalini
,Had she lied?,781.0,859.0, had attended more Patriots games than the juror admitted on a questionnaire. ,yes
,What thoughts occupied Kenneth while Crispin was asleep?,270.0,277.0,his dull uneventful days in scotland,his dull uneventful days in scotland
,Where was he laid to rest?,531.0,0.0,0,In his family tomb at Córdoba.
,For what?,994.0,1141.0,"The RFET will sue Canal Plus Francia for broadcasting a video which, besides inadmissible and slanderous insinuations, uses the federation's logo. ",For broadcasting a video using their logo
,"What is going on near Greenville, Mississippi?",1019.0,1037.0,A historic drought,A historic drought
,What was Cetywayo's response to Nahoon's forthcoming marriage?,305.0,305.0,fined,fined
,From what?,85.0,141.0,0,From foot surgery
,What did the armourer do with the half-formed spade?,381.0,400.0,"thrust the edge of the half - formed spade into the fire , and began to blow his bellows","thrust the edge of the half - formed spade into the fire , and began to blow his bellows"
,Who didn't deny Mial's accusation?,1075.0,1117.0,"Price, 24, did not deny Mial's accusation,",Price
,How does adult contemporary music differ from other genres of pop music?,162.0,177.0,its songs tend to be written in a basic format employing a verse – chorus structure,its songs tend to be written in a basic format employing a verse – chorus structure
,Also known as what?,955.0,983.0,0,the Forks of the Ohio
,Who also made one?,0.0,1453.0,"Galileo heard about it and, in 1609, built his own version",Galileo
,What time will Jose Mourinho be officially presented as the new Real Madrid coach?,114.0,116.0,1 : 00pm,1 : 00pm
,What day was it?,277.0,318.0,Pop reached Cedarville Tuesday afternoon.,Tuesday
,who was exhausted by physcial effort?,0.0,304.0,0,Marston
,What year were they made?,1483.0,1520.0,"Created for about $5,000 each in 1964",1964
