input,instruction,span_start,span_end,span_text,output
,how far does its population reach,288.0,325.0,beyond the administrative city limits,beyond the administrative city limits
,Who is Hannah?,18.0,32.0,a ten year old,a ten year old
,What was the general feeling among the Fawns about Lucy's behavior?,131.0,131.0,0,badly
,Steps of what?,111.0,0.0,Castle-gate,Castle-gate
,who was awake earlier than him?,386.0,394.0,Peegwish,Peegwish
,What was the name of the driver in the story?,168.0,190.0,"their driver, Mohammed",Mohammed
,where did they practice?,1188.0,1196.0,the park,the park
,How many Karl's are there?,274.0,291.0, This Fourth Karl,four
,What outlines the area now?,0.0,479.0,0,"the Indian-administered territory, the Pakistani-administered territories and the Chinese-administered territories"
,had he attacked anyone else before this?,583.0,651.0,Kim was given a suspended jail sentence for hurling a concrete block,yes
,which ones?,1171.0,1204.0,"His most recent book, ""Outliers,""","""Outliers"""
,how does the room look?,601.0,0.0,"That you have really made the room look nice,"" said Jessie.",nice
,Was he overthrown?,1406.0,0.0,"The younger Duvalier held onto power for 15 years before a revolt forced him to flee the country. Widely accused of corruption, Duvalier has been living in Franc","No, he fled"
,How many traits are listed?,351.0,502.0,"Competitors possess many of the same characteristics as gymnasts and dancers, including strength, flexibility, kinaesthetic judgment and air awareness.",Four
,Did programmers and developers ever share software?,0.0,223.0,"Open-source software (OSS) is computer software with its source code made available with a license in which the copyright holder provides the rights to study, change, and distribute the software to anyone and for any purpos",yes
,Where then?,90.0,148.0,"the Māori people, the indigenous population of New Zealand",New Zealand
,where was the ark?,1971.0,2026.0,the ark rested on a mountain on the frontiers of China.,on a mountain on the frontiers of China.
,Who else is?,0.0,342.0, his ministers will be sworn in,his ministers
,Was anyone agitated?,827.0,881.0,our mistress; she was in a dreadful state of agitation,yes
,When was the first relay?,364.0,479.0,0,1936
,What town was passed over?,1067.0,1119.0,The balloon was moving in the direction of Hopsville,Hopsville
,Why did he want Elizabeth in his movie?,1464.0,1666.0,"""It took about three minutes to realize that Liz was a stellar human being, and I wanted her for my movie,"" Henze said. ""I was impressed by the way she looked at cancer as another problem to be solved.""",She was a stellar human being
,was he a good dad?,1378.0,1461.0,I have been a bad dad. I have to buy more chicken so that we can still have noodles,he felt like a bad one
,what?,1251.0,1375.0,"Dozens of crimes across the country, especially acid attacks, have marred the opening of the new school year in Afghanistan.",the new school year
,Who received a threat?,343.0,508.0,0,Jorge Aguirre
,On what?,755.0,771.0,sat on the couch,the couch
,Where is the Mona Passage?,1395.0,1441.0,between Puerto Rico and the Dominican Republic,between Puerto Rico and the Dominican Republic
,Where are they sitting?,43.0,105.0,"Trevor and Clowes, of Donaldson's, were sitting in their study",in their study
,Why,811.0,846.0,"he and Peter are very good friends,",He and Peter are very good friends.
,How long has it been since a British player won the men's singles at Wimbledon?,32.0,32.0,1936,1936
,how many?,347.0,374.0,told a handful of reporters,a handful
,Who did she give them to?,0.0,1470.0,"these drugs to people at house parties, authorities say. 
",people
,where is it located?,0.0,53.0,Sicily is the largest island in the Mediterranean Sea,in the Mediterranean Sea
,Has the story already given some clues as to his purposes?,981.0,1048.0, penetration of such of his purposes as have been already hinted at,ye
,What was the result of West Ham's season under Gianfranco Zola?,86.0,91.0,one place above the relegation zone,one place above the relegation zone
,who?,111.0,116.0,0,Novak
,how?,293.0,334.0, a vote by its citizens on 4 January 1798,a vote
,When were they cast?,209.0,256.0, ballots cast in Sunday's presidential election,Sunday
,Who did he call?,148.0,183.0,Tom called over his best friend Jim,Jim
,What did the officer say?,797.0,818.0,What's the row about?,What's the row about?
,who did he stare at?,282.0,301.0,"Why, Mr. Wingfield,","Mr. Wingfield,"
,Who is Susan Quick?,452.0,463.0, sick-nurse,sick-nurse
,Which country created the standardization/,125.0,165.0,established by the German standards body,Germany
,what did he move?,807.0,848.0,he magically made the toilet seat lift up,the toilet seat
,What did Sally do when she saw Missy?,550.0,578.0,Sally waved to Missy the cat,waved
,How did they do?,0.0,176.0,(CNN) -- South African pair Louis Oosthuizen and Charl Schwartzel put their Augusta disappointments behind them to impress in the opening round of the Malaysian Open Thursday. ,they impressed
,What happened in 2013?,0.0,1329.0,"On 17 March 2013, researchers reported data that suggested bacterial life forms thrive in the Mariana Trench",\researchers reported data that suggested bacterial life forms thrive in the Mariana Trench
,When did it become a state?,1910.0,2043.0,"On 18 December 1970, the State of Himachal Pradesh Act was passed by Parliament and the new state came into being on 25 January 1971.","January 25, 1971"
,How did Jack Frost's work make it easier for Reddy to travel?,293.0,300.0,0,run on the crust now without breaking through
,Did he?,256.0,393.0,"Charlie felt an almost irresistible tendency to open his eyes, but knew that the risk was too great, and contented himself with his ears.",No.
,Who admitted their orientation in 1989?,1400.0,1486.0," He helped guide Dick Sargent when the ""Bewitched"" star came out of the closet in 1989",Dick Sargent
,Who is his attorney,1077.0,1094.0,"Charles Boekeloo,",Charles Boekeloo.
,Was he excited to see them?,1141.0,1194.0,"Can't, I'm in a hurry,"" responded the man-of-all-work",No
,Did he go to prison?,1515.0,1569.0,He went to prison for his pacifism during World War I.,yes
,Did stew like his gifts?,1006.0,1031.0,He loved all of his gifts,yes
,which federal agency wanted it?,528.0,592.0,Federal Communications Commission (FCC) ordered NBC to spin off ,Federal Communications Commission
,What method did the attackers use to gain entry to the building?,291.0,310.0,stormed the facilit,stormed the facility
,"Who wrote of the need for an ""absolute thermometric scale""?",153.0,154.0,william thomson,william thomson
,How many countries are in the continent?,0.0,664.0,0,17
,Was there?,0.0,0.0,"See there,” replied Beth, pointing through the window. 

Patsy saw. Mr. Runyon was seated on a garden bench in earnest conversation with Mildred Travers.",Yes
,Where did they take them?,752.0,763.0,the bedroom,the bedroom
,Did it start to rain then?,1285.0,1350.0,"It had threatened rain, and now the drops began to come down, at ",Yes
,where did he work?,0.0,77.0,"William Neave, the governor of the prison",at the prison
,How would they do that?,526.0,580.0,seize one of the leaders of these villains and compel ,seize one
,What event triggered the War of 1812?,74.0,77.0,0,war with napoleonic france
,For how long did the European Renaissance last?,785.0,800.0,about 1420–1630,about 1420–1630 210 years
,Who got the top part?,521.0,616.0,"In their latest recital Eliza had got the top part in the dance called ""The Beauty and the Rain","In their latest recital Eliza had got the top part in the dance called ""The Beauty and the Rain"
,What season was it?,0.0,40.0,0,winter
,bordered by how many countrys ?,340.0,0.0,"bordered by Myanmar (Burma) and China to the northwest, Vietnam to the east, Cambodia to the southwest, and Thailand to the west and southwest. ",Five
,And another?,0.0,1400.0,affordable college tuitions,affordable college tuitions
,Who was very happy to see Leo before the fight?,114.0,167.0,"On seeing the young gymnast, Mart gave a cry of joy. ","On seeing the young gymnast, Mart gave a cry of joy."
,where?,1078.0,1170.0,The first Lib–Lab candidate to stand was George Odger in the Southwark by-election of 1870. ,Southwark
,What was one of her professions before politics?,551.0,568.0, research chemist,research chemist
,Are its offices in a skyscraper?,1247.0,0.0, The main headquarters of Toyota is located in a 4-storey building,No
,how many demands did he have?,905.0,911.0,eight ,eight
,How high above the Mediterranean is Taormina?,1264.0,1368.0," It is eight hundred feet above the Mediterranean and nestles peacefully in the shadow of Mount Etna.'"" ",eight hundred feet
,What did he do next?,716.0,750.0,He counted the cars that passed by,He counted the cars that passed by
,Are Lin's jersey's sold fast?,506.0,595.0,"In New York, merchandise retailers are doing brisk business selling Lin's No. 17 jerseys.",Yes
,When was that system established?,-1.0,-1.0,unknown,unknown
,What did the Paleo-Indians then do?,1098.0,1128.0,spread throughout the Americas,spread throughout the Americas. Spread through the Americas.
,what years?,352.0,0.0,0,1981 and 1995
,who was at Oriel?,1004.0,1016.0,young Wright,young Wright
,When was the match?,114.0,122.0,Saturday,Saturday
,Who offered Dave some assistance?,255.0,258.0,Ben,Ben
,What is FIFA,0.0,21.0,governing body,governing body
,who took the apple from someone?,891.0,909.0,Rudolph der Harras,Rudolph der Harras
,how many?,391.0,501.0,"There are early legends of human flight such as the story of Icarus in Greek myth and Jamshid in Persian myth,",Two
,Did it all start 5 years ago?,463.0,0.0,It all started three years ago,no
,Did Dick go into the house?,1406.0,1414.0,0,yes
,What is its capital?,198.0,0.0,Mutungo,Mutungo
,Who else worked for Nike?,867.0,899.0,0,Roger Federer and Michael Jordan
,What law did they fall under?,888.0,895.0,de jure,de jure
,And who was he?,391.0,451.0,"referring to the founding contributor, Arthur David Olson. 
",the founding contributor
,does he claim it was an accident?,0.0,1236.0,It was an accident.,yes
,What did Billy find in the house he sneaked into?,174.0,177.0,a funny looking box,a funny looking box
,what is he the leader of?,1112.0,1244.0,0,a breakaway Mormon sect
,does savoir faire talk about creating your own luck?,1367.0,1552.0,"Savoir faire is a complex set, a mix I should say, of competence, experience and knowing somehow instinctively how to make a decision in a given situation. [It's] creating your own luck",yes
,"who ranks higher, Drew Barrymore or Nicolas Cage?",66.0,81.0, Drew Barrymore,Drew Barrymore
,How many were there in 1910?,0.0,0.0,600 million,600 million
,who did Obama accuse of obstructing progress?,1458.0,1541.0," Obama directly challenged Republicans, whom he has accused of obstructing progress",Republicans
,did they also use representations of eggs?,0.0,1616.0,"representations of ostrich eggs in gold and silver, were commonly placed in graves",yes
,What was over the toad?,405.0,434.0,with an iron grating over him,iron grating?
,When does that one stop providing content?,-1.0,-1.0,unknown,unknown
,What did he fail to win?,0.0,1316.0,"The U.S. Open gave the golfer a shot of redemption after his final-round meltdown at the Masters in April. 
",the Masters in April
,What island is north of it?,168.0,172.0,Cuba,Cuba
,Who is better than Tibbie?,1513.0,0.0,0,Leeby
,Is there one for future attorneys?,397.0,420.0,Osgoode Hall Law School,yes
,Where was Judith?,857.0,885.0,Judith was sitting up in bed,in bed
,Who?,148.0,0.0,Auld Licht minister's,Auld Licht minister's
,In what areas did it decline?,854.0,938.0,"After a decline in major manufacturing, industrialization, and rail transportation, ","in major manufacturing, industrialization, and rail transportation"
,How fast?,964.0,1025.0,to bring the South back into the union as quickly as possible,as quickly as possible
,how long was she gone before Twinkles started to wonder where she was?,630.0,637.0,An hour,An hour
,Why did he cross the channel?,878.0,896.0, to invade Britain,to invade Britain
,hoe did she say that ?,617.0,623.0,firmly,firmly
,Who said he died naturally?,262.0,277.0, Jonathan Cohen,Jonathan Cohen
,When did Vienna start their death registry?,977.0,1036.0,daily death registry -- begun in handwritten script in 1607,1607
,What city?,854.0,860.0,Vienna,Vienna
,Who did he allow to sit down with him for the first time in awhile?,317.0,465.0,"A cheerful-looking Mandela welcomed CNN's Robyn Curnow, along with reporters from two other organizations, into the sitting room of his home in Qunu",reporters
,Is Winston?,1095.0,1116.0,which you couldn't do,no
,What did the territory become then?,726.0,795.0,0,Ruanda-Urundi.
,Is this a fancy wedding?,468.0,0.0,superior one,YEs.
,what is roberto's last name?,663.0,667.0,Cruz,Cruz
,Who will he work with to combat drug trafficking?,981.0,0.0,Mexico and Colombia,Mexico and Colombia
,Did they see the flamingos last?,1050.0,1100.0,0,no
,are they wide?,1533.0,0.0,"The major rivers of the Piedmont, such as the Yadkin and Catawba, tend to be fast-flowing, shallow, and narrow",no
,from who?,1549.0,1637.0,0,a young man with a determined face
,How many were injured?,309.0,312.0,Ten,Ten
,Does it involve biological diversity?,56.0,76.0,Earth's biodiversity,yes
,what country are they from?,947.0,952.0,Dutch,Dutch
,What did Saton say to Rochester when he turned towards him?,237.0,0.0,""" you have forbidden me to enter your house , or to hold any communication with your ward until she was of age , mr . rochester , "" he said .",""" you have forbidden me to enter your house , or to hold any communication with your ward until she was of age , mr . rochester , "" he said ."
,What were they?,1342.0,0.0,you must stay a month,he had to stay a month
,What do he do for a living?,1037.0,1092.0,"Maher Hajjar, an entrepreneur and member of parliament.",is an entrepreneur and member of parliament.
,What else was?,559.0,581.0,The soup is blue also!,The soup
,Where is the Observatoire's research hub currently based?,965.0,0.0,0,European Union
,"How did Billy Ray Cyrus' acting career lead to the creation of ""Hannah Montana""?",256.0,256.0,doc,doc
,what is the official name of Mali?,0.0,66.0,"Mali (i/ˈmɑːli/; French: [maˈli]), officially the Republic of Mali",The Republic of Mali
,What was Laurence's opinion on the fate of Grandfather's chair?,0.0,347.0,0,"it appears to me , "" said laurence , giving the rein to his fancy , "" that the fate of this ancient chair was , somehow or other , mysteriously connected with the fortunes of old massachusetts"
,Was Venus ever No. 1?,1550.0,1560.0,No. 1 said,yes
,how many jobs were there?,639.0,788.0," Jane, Rick, and Peter would be the singers in the show. Max and Sam would set up the stage and the lights. Marsha and Tammy would make the costumes.",Three
,Why did he want to do that?,126.0,150.0,0,To look good
,What were his first two films?,1412.0,0.0,"ee's first two films, ""She's Gotta Have It"" (1986) and ""School Daze"" (1988)","ee's first two films, ""She's Gotta Have It"" (1986) and ""School Daze"" (1988) She's Gotta Have it and School Daze"
,Where was he from?,903.0,911.0,Scottish,Scotland.
,What color eyes did Wyndham have?,1413.0,1446.0, Although his eyes were very blue,blue
,Was there any there?,153.0,217.0,He looks in his freezer and sees that he does not have ice cream,No
,Did she surprise him?,133.0,175.0,"and he was, therefore, thoroughly startled",Yes.
,He did run afterwards?,901.0,907.0,0,no
,Is he still living?,1204.0,1218.0,Cerf is active,yes
,what changed?,1613.0,1662.0,changed when her uncle Edward abdicated the thone,her uncle Edward abdicated the thone
,What are some of those?,233.0,250.0,"Romania, Slovakia","Romania, Slovakia"
,who was the professor?,1091.0,0.0,"Did you happen to see Professor Potts and the Wadsworths?"" ",Professor Potts
,Is there incodeing for left-to-right scripts?,791.0,821.0," both right-to-left scripts, s",Yes
,where did she look?,559.0,678.0," She looked all around her desk, but here wasn't there. Then she looked on the floor behind the desk--and there he was!",her desk and her floor
,What is the most populous city of Haryana?,0.0,104.0,faridabad,faridabad
,why?,679.0,838.0,0,To look for eggs.
,Where did the bullets go?,835.0,870.0,Several shots flew over their heads,over their heads
,What was it called?,1062.0,0.0,0,"""I Am Spock."""
,What is the age for legal buying of tobacco before this bill came to be?,150.0,244.0,"
The state's legislature on Friday passed a bill raising the minimum legal age -- currently 18",18
,what does he do after he eats?,839.0,881.0," Afterwards, Andrew finishes his homework.",finishes his homework
,How did she communicate?,363.0,396.0,Diane Spitaliere said in an e-mai,by e-mail
,what is the largest CMA in New Brunswick?,232.0,294.0,"Greater Moncton, currently the largest metropolitan (CMA) area",Greater Moncton
,What countries comprise Gran Colombia?,791.0,831.0," Colombia, Ecuador, Panama and Venezuela","Colombia, Ecuador, Panama and Venezuela."
,What did Richard Lewis call Jonathan Winters?,295.0,301.0,0,greatest improvisational comedian of all time
,Did he take anything with him?,450.0,473.0,"""He had a small handbag","yes, a small handbag"
,Was he shot?,1401.0,1407.0, shot ,yes
,What does BPI stand for?,0.0,41.0,The BPI (British Recorded Music Industry),British Recorded Music Industry
,can all diacritics be written?,1170.0,1206.0, not all diacritics can be written. ,No
,"What is the meaning of the Arabic word ""Muslim""?",103.0,110.0,one who submits ( to allah ),one who submits ( to allah )
,what happened at Allington,727.0,0.0,sadness,sadness
,How doe he relate to Tiger Woods?,642.0,685.0,0,better
,What was Henry's response to that?,271.0,315.0,"I'll not have the hundredth part of a fine!""","He said I'll not have the hundredth part of a fine!"""
,for when?,68.0,76.0,Thursday,Thursday
,Does he feel good or bad compared to before?,437.0,479.0,"m feeling a trifle better now,"" he said; """,better
,How did Michel Voss respond when his wife gave him advice?,266.0,268.0,he was calm,he was calm
,What inspired Common to take hip-hop in a new direction?,0.0,52.0,0,barack obama
,who was friends with the emperor?,0.0,15.0,Pliny the Elder,Pliny the Elder
,How much did he win by?,191.0,248.0,The two-time world champion won by more than nine seconds,more the nine seconds
,What is the horse's name?,146.0,151.0,0,Selim
,And what does that mean?,1413.0,1507.0,"can mitigate the ""inferiority"" (my term) of her racial mixture by spending more time with him.","that she can mitigate the ""inferiority"" of her racial mixture by spending more time with him."
,Is became part of the US after what war?,1181.0,1252.0,0,Mexican–American War
,where?,1100.0,1112.0,Middle East ,Middle East
,What is the texture of the Borealis basin?,945.0,1056.0,The smooth Borealis basin in the northern hemisphere covers 40% of the planet and may be a giant impact feature,smooth
,Why?,47.0,66.0,lot of things to do,There are lot of things to do
,What does he do for a living?,79.0,107.0,0,A drug lord
,were they seised ny isis ?,770.0,781.0,Libyan army,no
,Who made a demand in 1520?,587.0,620.0,the demand of Pope Leo X in 1520 ,Pope Leo X
,Is there a common abbreviation for it?,0.0,27.0,0,yes
,Where did the message arrive from?,0.0,0.0,the messenger from New York,New York
,Can you give an example of something missing?,950.0,1024.0,"ven to the empty boxes, had been taken away. The place had been explored b",the empty boxes
,Has it been owned by the same family for a long time?,763.0,0.0,It has been owned by the Ochs-Sulzberger family since 1896,YES
,Who did they follow?,0.0,953.0,"A large number of the Swiss people had followed Tell and his captors to the harbour,",Tell and his captors.
,How young was he when he started singing it?,0.0,273.0,1,One
,in what ?,895.0,0.0,Cold War,Cold War
,how many high courts are there,1581.0,1584.0, 24,24
,was it easy for him?,35.0,120.0,0,Yes
,What was the official name of the honorary award first presented in 1950?,270.0,275.0,0,cecil b . demille award
,What is the earliest extant form of written Armenian?,938.0,1041.0,The earliest extant form of written Armenian is from the 5th century and is known as Classical Armenian,Classical Armenian
,"How has postmodernism impacted the various fields of philosophy, the arts, architecture and criticism?",50.0,54.0,marked a departure from modernism,marked a departure from modernism
,Where is the role of teacher normally carried out?,61.0,107.0,at a school or other place of formal education,at a school or other place of formal education
,Which ones?,467.0,608.0,"He liked the fall, too, when the leaves started to turn pretty colors. But he hated winter. Billy didn't like the snow. Spring was also nice.",Fall and spring
,who uses the information in TIDE?,837.0,900.0,The FBI uses the raw information contained in the TIDE databank,FBI
,What did he ask of his students for his class?,1065.0,1147.0,"""And how soon will you make up the lessons in my class?"" demanded the instructor. ",To make up their lessons
,What did he finish?,183.0,259.0, In a few moments he announced that he had finished the bust of his mother. ,the bust
,who did she go with?,13.0,101.0,"Little had Mrs. Dashwood or her daughters imagined when they first came into Devonshire,",Her daughters
,What did the blacksmith say he would never do?,1327.0,1431.0,the smith however said he would never forge chains for the man who had saved his country from the French,forge chains for the man who had saved his country from the French
,Why was Bobby's grandmother in NY?,0.0,32.0,Bobby's grandmother was studying,she was studying
,What did wear with it?,0.0,765.0,0,a bow tie
,What does Umar say about Mehsud?,930.0,1030.0,"Maulvi Umar told CNN that Mehsud is alive, but ill, and will speak to reporters when he feels better","he is alive, but ill"
,What was the first place Kate visited on her trip to Europe?,55.0,57.0,"paris , france","paris , france"
,What part of Canada can you find Bristish Columbia?,1.0,55.0,0,west
,How can you tell an aspirated sound from an unaspirated one?,452.0,555.0,"one can put a hand or a lit candle in front of one's mouth, and say pin [pʰɪn] and then spin [spɪn]. On",test for a puff of air
,What track?,39.0,52.0,Red Bull Ring,Red Bull Ring
,Who?,1066.0,1222.0,"The biggest digital music distributor, iTunes, accepts as many as three tracks less than ten minutes each as a single, as does popular music player Spotify.",Spotify.
,Is he touring with Oasis?,750.0,860.0,"By September, Gallagher will have completed the tour of his first solo album since the demise of Oasis in 2009",No
,Does it have highest numbers of married couples?,0.0,638.0,and has the highest concentration of singles in the region.,No.
,What was a fact James Dunn believed,856.0,1223.0,"The baptism of Jesus and his crucifixion are considered to be two historically certain facts about Jesus. James Dunn states that these ""two facts in the life of Jesus command almost universal assent"" and ""rank so high on the 'almost impossible to doubt or deny' scale of historical facts"" that they are often the starting points for the study of the historical Jesus.",Jesus was baptized and crucified
,What kind of council was it?,586.0,604.0,the family council,a family council
,what was it for ?,176.0,181.0,lunch,lunch
,Where is their headquarters?,0.0,128.0," Midtown Manhattan, New York City","Midtown Manhattan, New York City"
,What did he do because of this?,493.0,525.0,Nicholas soon slackened his pace,slackened his pace
,Do they do martian exploring?,877.0,897.0, Martian exploration,yes
,What are some of the protective benefits of wearing clothing?,48.0,65.0,"rough surfaces , rash - causing plants , insect bites , splinters , thorns and prickles","rough surfaces , rash - causing plants , insect bites , splinters , thorns and prickles"
,what were they doing?,1018.0,0.0,"he nabob's talkin' to New Yoruk!"" 

This information demanded immediate attention",watching the nabob's use the phone
,How many public universities are there in Nigeria?,188.0,201.0,public universities can be established by both the federal government and by state governments,public universities can be established by both the federal government and by state governments
,What body of water is nearby?,0.0,0.0, Lake Michigan,Lake Michigan
,Who said so?,0.0,1490.0,"""The great white chief,"" continued Rednose",Rednose
,What does it portray?,230.0,293.0,unique style of combat based on a combination of adopted styles,unique style of combat
,Was Mopsey happy?,0.0,568.0,Mopsey was so delighted at the success,Yes
,who coined the phrase?,1300.0,1344.0,0,Francisco Bilbao.
,When did they change their religion?,395.0,535.0,". Vladimir the Great (980–1015) introduced Christianity with his own baptism and, by decree, that of all the inhabitants of Kiev and beyond.",Sometime between 980–1015
,What was he?,697.0,728.0,0,Opposition coach.
,why?,757.0,801.0,she felt that a shadow rested upon the house,she felt that a shadow rested upon the house
,who saw them all?,0.0,1150.0,"""Hello, you fellows, where are you bound?"" came in a cry, and looking up they saw a well-known form approaching. 

""Ben!"" cried Dave, rushing up to the newcomer and shaking hands warmly. ""When did you come in? And how are all the folks at Crumville? Did you happen to see Professor Potts and the Wadsworths?"" ",Ben
,What did she want to say something about?,0.0,811.0,0,about that poor castaway
,In what year?,537.0,553.0, in 1953 America,1953
,What did American journalist Grant Wahl hope to accomplish with his candidacy?,0.0,164.0,"raise awareness about what he called the "" need for change","raise awareness about what he called the "" need for change"
,"What's the small, central part called?",286.0,308.0,"London's ancient core,",London's ancient core
,How do you know?,301.0,353.0,"reported a population of 165,595 in the 2010 census.",the 2010 census.
,how many natural resources of Mali are named?,0.0,730.0,"Mali's prominent natural resources include gold, being the third largest producer of gold in the African continent, and salt",Two
,By who?,32.0,103.0,The International Criminal Court at the Hague issued an arrest warrant ,The International Criminal Court
,How did national Republicans inject money into the race?,0.0,139.0,they injected a massive infusion of outside ad money into the race,they injected a massive infusion of outside ad money into the race
,any more?,1123.0,1163.0,0,Parthians
,What was the name of Arthur Berkeley's house at Chelsea?,0.0,80.0,0,"hilda tregellis drove straight , without stopping all the way , to arthur berkeley ' s house at chelsea ; for arthur had long since risen to the dignity of an enfranchised householder , and had bought himself a pretty cottage near the embankment"
,What did Lily say about Johnny Eames when speaking to Grace?,113.0,118.0,asked why he did not come,asked why he did not come
,How about grunting?,773.0,833.0," A pidgin may be built from words, sounds, or body language ",yes
,Were they sentenced to death?,431.0,457.0,conspiracy that spared two,no
,Did she win any awards?,827.0,0.0, three Grammys,Yes
,How many states border it?,192.0,356.0,"Wyoming is bordered on the north by Montana, on the east by South Dakota and Nebraska, on the south by Colorado, on the southwest by Utah, and on the west by Idaho.",Six
,What was she doing?,27.0,50.0,having a birthday party,having a birthday party
,What was the name of the book Jason Priestley wrote?,132.0,137.0,jason priestley : a memoir,jason priestley : a memoir
,Was it evening when all this was happening?,113.0,133.0,early spring morning,no
,Was he smaller than the muskrat?,663.0,684.0, I am bigger than you,No.
,What newspaper wrote a piece about her?,707.0,721.0,New York Times,New York Times
,What,-1.0,-1.0,0,unknown
,Who founded the first preschool in Strassbourg in 1779?,222.0,231.0,0,johann friedrich oberlin and louise scheppler
,Why?,0.0,604.0,"I hope he is, because if he doesn't come it might imply he means to make things difficult for us. ",if he doesn't come he might be making things difficult
,What is he known for?,9.0,44.0,"Nelson Mandela, anti-apartheid icon",being anti-apartheid
,in what competition?,115.0,206.0,Spaniard was given an almighty scare in the quarterfinals of the Monte Carlo Masters Friday,the Monte Carlo Masters
,how long had he?,241.0,351.0,That would never happen if he couldn't even help the tooth fairy with teeth on his first day working for her. ,It was his first day.
,And what did he take on after?,1296.0,1302.0,flying,flying
,Do some nations have a place for constitutional matters?,1419.0,1490.0, number of jurisdictions also maintain a separate constitutional court ,yes
,What is the name of the event?,0.0,404.0,"In the performers' tent for the touring show ""Kooza,"" there are the chiseled men catapulting their partners onto each other's shoulders from a giant see-saw and the woman doing contortions on children's-sized blocks. ",Kooza
,what?,568.0,645.0,"""It is false. It is more likely that you entered Mr. Saunders' room yourself.",entering Mr. Saunders' room .
,Who is the security adviser to the government?,1182.0,0.0,"Lt. Gen. Paradon Patthanathabut, security adviser to the government",Lt. Gen. Paradon Patthanathabut
,Who did she try to visit?,989.0,1006.0,Dr. Robert Epsten,Dr. Robert Epsten
,What was the name of the special project conducted by GRI between 1995 and 1999?,307.0,321.0,l . a . as subject : the transformative culture of los angeles communities,l . a . as subject : the transformative culture of los angeles communities
,What did Tom suggest as the cause of the glass bottles?,154.0,168.0,maybe it was done by some country fellow who is running an auto repair shop,maybe it was done by some country fellow who is running an auto repair shop
,who won thier first tournament?,65.0,133.0,"Rory McIlroy did so last year, and he won his first major tournament",Rory McIlroy
,does tarzan have a longer name?,27.0,45.0,Tarzan of the Apes,yes
,Do they have a long time to do it?,1148.0,1184.0,and there's a short time to do it in,no
,For who?,877.0,915.0,381 goals in 466 matches for Barcelona,Barcelona.
,Did Government keep their shares?,980.0,1051.0,0,no
,Where did they hail from?,396.0,483.0,"The delegates to put him over the 1,144 necessary for the GOP nomination came in Texas,",Texas
,Who wanted to drive?,511.0,595.0,"Rawdon took his place outside, and would have liked to drive, but his grief forbade ",Rawdon
,was it played in a country?,133.0,284.0,"
After a frantic opening to the World Cup in Brazil with entertainment and goals aplenty, one of its gold-plated stars announced his arrival in style. ",in Brazil
,what does Jo want to purchase with it?,1448.0,1466.0,Undine and Sintran,Undine and Sintran
,Did Harry Partch and Ivor Darreg use traditional instruments?,1248.0,1362.0,0,No
,What river is the area around?,702.0,0.0,around a dam in the river Amstel,Amstel
,Who claimed the by for Spain?,789.0,0.0,0,uan Rodríguez Cabrillo
,What was he called?,817.0,904.0,"Josiah Bagby, Jr., son of the eccentric doctor at whose school Carl had learned to fly,","Josiah Bagby, Jr"
,What is a resident of Memphis known as?,0.0,826.0," A resident of Memphis is referred to as a Memphian,","A Memphian,"
,Was Baby Doc kinder?,1202.0,1353.0,0,no
,How long was he with Ferrari?,370.0,406.0,four-year association with Ferrari. ,four years
,What state?,1042.0,0.0," in Brookline, Massachusetts",Massachusetts
,What color outfit did Michelle Obama wear?,265.0,372.0,first lady's attention-grabbing lemongrass yellow wool and lace ensemble that she wore for the inauguration,Lemongrass yellow.
,what other distinct group is mentioned?,153.0,159.0,"Métis,","Métis,"
,what company did Berry start?,91.0,104.0,0,Tamla Records
,Why does Diogenes offer to carry Gilda?,733.0,793.0,"""The road is very slippery, mejuffrouw,"" he added warningly,",The road is very slippery
,who resigned?,1472.0,1485.0,Muammer Guler,Muammer Guler
,What is the article about?,84.0,0.0,0,auto races
,What changed then?,772.0,990.0,"Traditionally the windows of town pubs were of smoked or frosted glass to obscure the clientele from the street but from the 1990s onwards, there has been a move towards clear glass, in keeping with brighter interiors.",move towards clear glass
,Where did the second occur?,339.0,377.0," merged in 1893, they located in Berne",Berne
,Who is Salmond addressing soon?,638.0,703.0,this weekend addresses delegates at the Scottish National Party's,delegates
,Were very many nominated?,1322.0,1347.0,74 animals were nominated,yes
,What's his last name?,756.0,0.0,Rover,Rover
,What was Dave's sister's name?,32.0,32.0,0,laura
,What did she have along with her looks?,0.0,494.0,0,brains
,What was the fresh milk put into?,0.0,493.0,the bucket,the bucket
,was anyone hurt?,1654.0,1687.0,The bombings left 74 people dead.,yes
,What was its original name?,463.0,558.0,nder the name of the Spanish Group of the International Federation of the Phonographic Industry,the Spanish Group of the International Federation of the Phonographic Industry
,Where?,137.0,156.0, on the open window,on the open window
,"Besides the caterpillars, what else was Ruby afraid of?",1460.0,1538.0,the fear of her mother before her eyes if she should tear her new muslin dress,"her mother, if she should tear her new muslin dress"
,Who is the janitor in Hal's building?,1416.0,1463.0,Daniel McCabe janitor of the building I work in,Daniel McCabe is janitor of the building he works in
,does he live in the US?,0.0,29.0,0,yes
,What was Lizzie's dad's job?,0.0,160.0,driver,driver
,Was she behaving strangely?,1297.0,1331.0,deep blue eye was fixed on vacancy,Yes
,Who was the first ruler?,700.0,782.0,With its origins as a Polish stronghold erected in the 980s by Mieszko I of Poland,Mieszko I
